Lat,Long,COMID,Location
70.83303355,-155.4226817,81000004,North
70.83725494,-156.0156333,81000005,North
70.9156349,-156.1138977,81000011,North
71.15074283,-156.2439354,81000028,North
70.4412307,-150.4830277,81000069,North
70.59243679,-160.0751757,81000076,North
70.74242917,-154.4250777,81000102,North
70.74916667,-155.9141667,81000121,North
70.45989117,-151.9563775,81000147,North
70.79092576,-155.6590091,81000200,North
70.76023682,-159.2863241,81000201,North
69.93059371,-146.2190373,81000388,North
70.37570551,-148.9613416,81000402,North
70.24496916,-147.9399747,81000433,North
69.97284832,-144.0435641,81000438,North
70.34900599,-151.2984303,81000440,North
70.17804516,-147.3055672,81000451,North
70.04223538,-162.302335,81000478,North
70.0634407,-145.5540996,81000486,North
70.05380689,-143.2773001,81000489,North
69.96442331,-144.3787259,81000495,North
70.02544861,-143.9736388,81000496,North
70.18370866,-147.628981,81000499,North
70.15128192,-162.0180744,81000528,North
70.31236396,-160.9809056,81000668,North
69.57167238,-162.9181473,81001019,North
69.75738325,-162.873514,81001023,North
69.91391344,-145.1289833,81001134,North
69.59152626,-162.8037317,81001212,North
68.90029264,-164.6131558,81002535,North
68.41960608,-166.3591019,81003294,North
67.76737022,-164.3883176,81005554,North
67.83902485,-164.4282424,81005578,North
67.63267017,-164.1347929,81005819,North
67.08451228,-162.4099036,81007739,Interior
66.55080911,-161.1854842,81009026,Interior
66.28259023,-160.8601757,81009065,Interior
65.94099949,-161.8928588,81010333,Interior
66.22958333,-161.03375,81010337,Interior
66.0262939,-162.6536146,81010407,Interior
66.05231605,-163.7962288,81010411,Interior
66.14598324,-165.5074191,81010492,Interior
65.97768803,-166.7566684,81010509,Interior
66.03094879,-162.8280956,81010533,Interior
66.18250622,-164.1297533,81010552,Interior
65.89324694,-166.8131509,81010563,Interior
65.2689048,-166.3303859,81013063,Interior
65.33684373,-166.6953353,81013266,Interior
64.58524408,-163.3548989,81014324,Interior
64.82727734,-160.8541566,81014345,Interior
64.91819789,-161.0862368,81014468,Interior
64.79246139,-161.9494667,81014496,Interior
64.69673816,-162.0369107,81014526,Interior
64.79434858,-161.6949246,81014546,Interior
64.62416411,-166.2126771,81014700,Interior
64.9275,-166.4958333,81014730,Interior
64.37647374,-160.9212601,81015626,Interior
64.54431075,-160.8485402,81015634,Interior
64.47831411,-164.750619,81015785,Interior
63.86899995,-160.7259697,81017006,Interior
64.0799088,-160.8394413,81017157,Interior
63.39970603,-162.4169863,81018635,Interior
63.52872813,-161.0564365,81018767,Interior
63.03129836,-164.5880329,81020021,Interior
63.08077812,-163.6162225,81020232,Interior
63.00292328,-163.3170312,81020358,Interior
62.34412224,-165.3420464,81023726,Interior
62.47709476,-164.8212544,81023923,Interior
61.68134439,-165.7649609,81025509,Interior
61.85473013,-165.5604151,81026165,Interior
61.29689227,-150.5737016,81027459,South
61.4775008,-149.3381744,81027546,South
61.31227182,-150.649452,81027607,South
61.28433017,-150.2812943,81027653,South
61.32127709,-149.7262061,81027715,South
61.3252837,-165.5453971,81027912,Interior
61.27765971,-147.6749969,81027950,South
60.9263972,-164.9454867,81029117,Interior
61.04648545,-165.0870758,81029183,Interior
61.21569845,-150.936492,81029239,South
61.18265572,-165.35406,81029276,Interior
60.92604109,-151.7355943,81029391,South
61.01399225,-146.9725615,81029424,South
61.1206565,-146.2118513,81029478,South
60.89590547,-150.0227943,81029506,South
60.84126631,-149.4290686,81029564,South
61.0889293,-146.2359523,81029678,South
60.47258158,-162.3160053,81030776,Interior
60.48483262,-144.7895896,81030789,Interior
60.53376557,-151.2086643,81030912,South
60.66125,-152.0508333,81030920,South
60.78715009,-151.012588,81030941,South
60.45463893,-144.7850742,81030951,South
60.5043425,-164.9576931,81030973,Interior
60.76109755,-151.8832102,81031031,South
60.10307603,-142.7881371,81032340,South
60.30376836,-162.2624545,81032397,Interior
60.17188608,-164.3784259,81032412,Interior
60.0582833,-143.4816267,81032416,South
60.45258068,-162.5245551,81032472,Interior
60.23741159,-162.0738047,81032477,Interior
60.07756312,-141.4250201,81032540,South
60.41100581,-145.5167755,81032575,South
60.02958842,-151.6705882,81032585,South
60.37275769,-151.292762,81032601,South
60.12808188,-162.132243,81032612,Interior
60.17623526,-144.2584134,81032633,South
60.29541317,-152.6439289,81032667,South
60.24797412,-162.6117635,81032872,Interior
60.13285234,-141.3690309,81032895,South
60.13657609,-149.4165774,81032901,South
60.27115429,-153.0897962,81032945,South
59.9676319,-141.2536865,81033900,South
59.97084572,-164.0957242,81033934,Interior
59.88834829,-163.1478663,81034001,Interior
59.70546617,-161.8094648,81034096,Interior
59.82308044,-150.9218672,81034099,South
59.75265863,-161.9171233,81034212,Interior
59.77434659,-151.8513695,81034239,South
59.03543318,-158.4247571,81035777,Interior
58.89506365,-157.0295137,81035794,South
59.10510239,-161.5625587,81035805,Interior
59.10096662,-160.356244,81035813,Interior
58.92669951,-158.7687144,81035816,Interior
59.15595767,-154.2654259,81035821,South
58.9323908,-159.7668336,81035853,Interior
58.93554454,-160.1392933,81035856,Interior
59.010168,-154.1639059,81035857,South
58.78517025,-161.2520673,81035952,Interior
58.99268608,-153.6226939,81035958,South
58.72402193,-156.9093556,81036242,South
58.77073888,-158.8652028,81036267,Interior
58.20709462,-157.2815609,81036460,South
58.25065196,-157.3155665,81036473,South
58.03386175,-154.9411475,81036498,South
69.81634614,-142.1646006,82000054,North
69.67410101,-141.8192742,82000070,North
69.80065378,-142.0908508,82000077,North